Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6885fa0a12efad608dbd23cc,6670695ddda879e28629fbe0,APPROVED,Not Applicable,2025-07-27T10:06:08.784000Z,2025-07-27T10:15:07.179000Z,2025-07-29T06:36:08.998000Z,2025-07-27T10:15:07.670587Z,539.0,CJYS1MGD,636,"English, Vietnamese",31,Female,Asian,Vietnam,United States,United States,Vietnamese,DATA_EXPIRED,DATA_EXPIRED
6885fa0b8703bf3ef2256b5e,680e77f1b497bfe3d4df3514,APPROVED,Not Applicable,2025-07-27T10:06:21.162000Z,2025-07-27T10:10:41.854000Z,2025-07-29T06:36:09.604000Z,2025-07-27T10:10:42.356866Z,261.0,CJYS1MGD,1293,English,59,Female,Black,United States,United States,United States,English,No,Full-Time
6885fa13ecbfd85158259916,651c2cc23704dc10500ae77c,APPROVED,Not Applicable,2025-07-27T10:06:24.266000Z,2025-07-27T10:19:32.255000Z,2025-07-29T06:36:10.100000Z,2025-07-27T10:19:32.712184Z,788.0,CJYS1MGD,3170,English,71,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6885fa245bf962bfebf2eb16,67ca44c542a5ebd3baf7d5e1,APPROVED,Not Applicable,2025-07-27T10:08:28.285000Z,2025-07-27T10:34:10.306000Z,2025-07-29T06:36:10.565000Z,2025-07-27T10:34:10.763718Z,1543.0,CJYS1MGD,1345,English,28,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6885fa3e243c184978c6c914,6701c01f6fb3d34d3bed389e,APPROVED,Not Applicable,2025-07-27T10:08:35.716000Z,2025-07-27T10:35:46.340000Z,2025-07-29T06:36:11.026000Z,2025-07-27T10:35:46.933520Z,1631.0,CJYS1MGD,1252,English,31,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6885fa556fd09e5f93735ac6,607dc630d2d30aa7e8699c23,APPROVED,Not Applicable,2025-07-27T10:11:25.743000Z,2025-07-27T10:19:31.661000Z,2025-07-29T06:35:45.401000Z,2025-07-27T10:19:32.113061Z,486.0,CJYS1MGD,5338,"English, Polish",34,Male,White,Poland,United States,United States,Polish,No,Full-Time
6885fa6121038dca4d69770b,675aaec58dfc729c338a52eb,RETURNED,Not Applicable,2025-07-27T10:07:33.716000Z,,,2025-07-29T06:33:38.491127Z,,,1375,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6885fabb1417f6b40616859e,6718cc3b749c4925a6ac7b03,APPROVED,Not Applicable,2025-07-27T10:11:22.098000Z,2025-07-27T10:19:28.377000Z,2025-07-29T06:36:11.634000Z,2025-07-27T10:19:28.850921Z,487.0,CJYS1MGD,822,English,44,Female,White,United States,United States,United States,English,No,Part-Time
6885fb06a7ea4a0a8a6cd2e3,56c8915edfea6c000cb29c98,APPROVED,Not Applicable,2025-07-27T10:10:21.831000Z,2025-07-27T10:22:14.195000Z,2025-07-29T06:36:12.049000Z,2025-07-27T10:22:14.663883Z,713.0,CJYS1MGD,7484,English,44,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6885fb1e2b443ae9ed9b31d3,5daf506a5bd1b30013605e31,APPROVED,Not Applicable,2025-07-27T10:13:00.515000Z,2025-07-27T10:17:25.135000Z,2025-07-29T06:36:12.480000Z,2025-07-27T10:17:25.608377Z,265.0,CJYS1MGD,7831,English,52,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6885fb2812efad608dbd2402,67da6cb5faae2bb29a934c76,APPROVED,Not Applicable,2025-07-27T10:10:59.861000Z,2025-07-27T10:23:47.156000Z,2025-07-29T06:36:14.286000Z,2025-07-27T10:23:47.688520Z,768.0,CJYS1MGD,1183,English,61,Female,White,United States,United States,United States,English,No,Part-Time
6885fb31910f6529bd3443fb,601848135aa9ba08c66cff6a,APPROVED,Not Applicable,2025-07-27T10:11:03.315000Z,2025-07-27T10:15:22.199000Z,2025-07-29T06:35:46.576000Z,2025-07-27T10:15:22.726537Z,259.0,CJYS1MGD,1642,English,46,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6885fb8041dbdfa8bf4c89f1,5e8aa4d80eac7e756a72f478,APPROVED,Not Applicable,2025-07-27T10:12:19.089000Z,2025-07-27T10:17:54.327000Z,2025-07-29T06:35:46.977000Z,2025-07-27T10:17:54.825965Z,336.0,CJYS1MGD,2532,"Spanish, English",32,Male,White,United States,United States,United States,Spanish,DATA_EXPIRED,DATA_EXPIRED
6885fb8b85d45e2102efaaae,583ec287ad2f4300014b355a,APPROVED,Not Applicable,2025-07-27T10:12:31.146000Z,2025-07-27T10:19:49.744000Z,2025-07-29T06:35:47.362000Z,2025-07-27T10:19:50.221271Z,439.0,CJYS1MGD,9128,English,69,Male,White,United States,United States,United States,English,No,Full-Time
6885fb9da27e037f71720a67,5c395df5f5ebd50001850900,APPROVED,Not Applicable,2025-07-27T10:12:49.926000Z,2025-07-27T10:20:04.151000Z,2025-07-29T06:35:47.768000Z,2025-07-27T10:20:04.643723Z,435.0,CJYS1MGD,11805,"Chinese, English",30,Male,Asian,United States,United States,United States,Chinese,Yes,Full-Time
6885fbb02ea1e62305408b95,6286c49fc49ab4b3b78d06a2,APPROVED,Not Applicable,2025-07-27T10:13:08.563000Z,2025-07-27T10:19:00.155000Z,2025-07-29T06:35:48.180000Z,2025-07-27T10:19:00.667220Z,352.0,CJYS1MGD,1451,English,50,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
6885fbbd841485125559ce0c,66240955715b3b45903381ed,APPROVED,Not Applicable,2025-07-27T10:13:23.250000Z,2025-07-27T10:25:30.603000Z,2025-07-29T06:35:48.592000Z,2025-07-27T10:25:31.088216Z,728.0,CJYS1MGD,2247,English,38,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6885fbd66e69af2c7f0b4b89,5c747b0f181ad300113363ed,APPROVED,Not Applicable,2025-07-27T10:13:47.872000Z,2025-07-27T10:22:07.679000Z,2025-07-29T06:35:48.981000Z,2025-07-27T10:22:08.129516Z,500.0,CJYS1MGD,7356,English,28,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6885fc231a4fc1481436cc43,5e7a2ccd69a7770604dfb352,APPROVED,Not Applicable,2025-07-27T10:15:46.002000Z,2025-07-27T10:25:33.491000Z,2025-07-29T06:36:15.041000Z,2025-07-27T10:25:33.984454Z,588.0,CJYS1MGD,9525,English,52,Female,White,United States,United States,United States,English,No,Part-Time
6885fc2c77c57cdffabd5596,6272b9dfc470a51d5fa0e6ea,APPROVED,Not Applicable,2025-07-27T10:15:37.386000Z,2025-07-27T10:24:44.413000Z,2025-07-29T06:35:49.372000Z,2025-07-27T10:24:44.891815Z,548.0,CJYS1MGD,6560,English,43,Male,Asian,Korea,United States,United States,English,DATA_EXPIRED,Full-Time
6885fc2da92b27693db4df6b,682b76cd7d1dde59f69b3b71,APPROVED,Not Applicable,2025-07-27T10:15:09.926000Z,2025-07-27T10:22:40.468000Z,2025-07-29T06:35:49.785000Z,2025-07-27T10:22:42.375865Z,451.0,CJYS1MGD,1337,English,45,Male,White,United States,United States,United States,English,No,Part-Time
6885fc2ef8db5bfd8d949046,63a9a8f2f098b7e45bd03721,APPROVED,Not Applicable,2025-07-27T10:15:15.455000Z,2025-07-27T10:31:51.067000Z,2025-07-29T06:35:50.213000Z,2025-07-27T10:31:51.547925Z,996.0,CJYS1MGD,6445,English,71,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6885fc3d0bb322662f503473,5ed2bb7a67d51b24b2ac4037,APPROVED,Not Applicable,2025-07-27T10:15:32.394000Z,2025-07-27T10:22:00.767000Z,2025-07-29T06:35:50.655000Z,2025-07-27T10:22:01.254151Z,389.0,CJYS1MGD,7224,English,36,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6885fc510f8ff6120abfc14d,67eaa46b7bb6cbefdcbde74c,APPROVED,Not Applicable,2025-07-27T10:15:58.948000Z,2025-07-27T10:28:00.357000Z,2025-07-29T06:36:15.686000Z,2025-07-27T10:28:00.828409Z,722.0,CJYS1MGD,1757,English,51,Female,White,United States,United States,United States,English,No,Full-Time
6885fcac3c0f6fbba312b5d4,56e60e39f7957b000b18e37b,APPROVED,Not Applicable,2025-07-27T10:22:56.386000Z,2025-07-27T10:26:00.559000Z,2025-07-29T06:35:51.052000Z,2025-07-27T10:26:01.050054Z,185.0,CJYS1MGD,4779,English,36,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6885fcae1dd1a202cdcd86de,6825af939111d286546fdde6,APPROVED,Not Applicable,2025-07-27T10:17:18.790000Z,2025-07-27T10:25:12.974000Z,2025-07-29T06:36:16.346000Z,2025-07-27T10:25:13.463830Z,475.0,CJYS1MGD,1551,English,42,Female,White,United States,United States,United States,English,No,Part-Time
6885fcb532cf25610398033e,67f1626e4525cfea0f0a9753,RETURNED,Not Applicable,2025-07-27T10:18:34.268000Z,,,2025-07-29T06:33:38.492271Z,,,1315,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6885fcd541b4e8d36f650d37,5d90298097a2130015f3fa3c,APPROVED,Not Applicable,2025-07-27T10:26:54.438000Z,2025-07-27T10:58:19.396000Z,2025-07-29T06:35:51.441000Z,2025-07-27T10:58:19.888481Z,1885.0,CJYS1MGD,2071,English,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6885fcdcad7e1f3d8a530a07,64136bf30b27746cb96f7db8,RETURNED,Not Applicable,2025-07-27T10:18:04.441000Z,,,2025-07-29T06:33:38.494081Z,,,4571,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6885fce8b79bf206da06ad02,6726f38cd14d8ba8644f2bcf,APPROVED,Not Applicable,2025-07-27T10:18:22.604000Z,2025-07-27T10:37:41.619000Z,2025-07-29T06:36:17.043000Z,2025-07-27T10:37:42.077279Z,1160.0,CJYS1MGD,1450,English,47,Female,White,United States,United States,United States,English,No,Full-Time
